Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/pulseaudio,PulseAudio,pulseaudio,"audio, pulseaudio, sound, system, C, assembly",http://www.freedesktop.org/wiki/Software/PulseAudio/GSoC2013
google/gsoc2013/puppetlabs,Puppet Labs,puppetlabs,,https://projects.puppetlabs.com/projects/puppet/wiki/GSOC
google/gsoc2013/python,Python Software Foundation,python,"python, Core Python, Astropy, GNU Mailman, Kivy, MNE-Python, OpenHatch, PyDy, PyPy, Pyramid Web Framework, Pylons Project, scikit-image, scikit-learn, SciPy, NumPy, SfePy, statsmodels, SunPy, Tahoe-LAFS, Twisted",http://wiki.python.org/moin/SummerOfCode/2013
google/gsoc2013/qemu,QEMU.org,qemu,"emulator, emulation, virtualization, lowlevel, os, bootloader, compiler, kernel, kvm, xen, c",http://qemu-project.org/Google_Summer_of_Code_2013
google/gsoc2013/osr,Quagga @ OpenSourceRouting / ISC,osr,"C, Networking, IP Routing, BGP, OSPF, IS-IS, RIP, IPv4, IPv6, OpenFlow, MPLS, BFD, Quagga",http://www.quagga.net/gsoc2013
google/gsoc2013/rproject,R Project for statistical Computing,rproject,,http://rwiki.sciviews.org/doku.php?id=developers:projects:gsoc2013
google/gsoc2013/raxa,Raxa,raxa,"mobile health, records, sencha, health, javascript, java, emr, phr, his, openmrs",https://raxaemr.atlassian.net/wiki/display/RAXAJSS/GSoC+2013+Ideas+Page
google/gsoc2013/robocomp,RoboComp,robocomp,"RoboComp, robotics, framework, components oriented programming, ",http://robocomp.org/?p=86
google/gsoc2013/routeflow,RouteFlow,routeflow,"OpenFlow, Software-Defined Networks, IP Routing, Quagga, Linux, Python, C++, Java",https://sites.google.com/site/routeflow/gsoc13-ideas-list
google/gsoc2013/rtems,RTEMS Project,rtems,"RTOS, real-time, OS, operating system, POSIX, threads, SMP, multicore, embedded, C, C++, Ada, Python",http://www.rtems.org/wiki/index.php/Open_Projects
